OKLAHOMA CITY THUNDER,,,Totals,,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Shai Gilgeous-Alexander,26,7,267,70,158,8,33,64,70,2,30,32,39,13,11,24,22,212,0.443,0.242,0.914,38.1,30.3,4.6,5.6,1.9,1.6
2,Jalen Williams,23,7,243,55,127,8,30,47,58,7,28,35,26,6,0,15,23,165,0.433,0.267,0.81,34.7,23.6,5,3.7,0.9,0
3,Chet Holmgren,22,7,212,30,76,3,19,23,27,14,48,62,4,4,11,10,15,86,0.395,0.158,0.852,30.3,12.3,8.9,0.6,0.6,1.6
4,Alex Caruso,30,7,202,23,53,10,25,15,18,9,16,25,11,17,6,8,21,71,0.434,0.4,0.833,28.9,10.1,3.6,1.6,2.4,0.9
5,Luguentz Dort,25,7,220,19,45,17,38,2,4,11,21,32,5,11,3,3,25,57,0.422,0.447,0.5,31.4,8.1,4.6,0.7,1.6,0.4
6,Cason Wallace,21,7,156,18,38,5,16,1,2,5,13,18,5,12,4,4,18,42,0.474,0.313,0.5,22.3,6,2.6,0.7,1.7,0.6
7,Aaron Wiggins,26,7,100,12,33,10,22,7,10,2,12,14,5,4,2,8,8,41,0.364,0.455,0.7,14.3,5.9,2,0.7,0.6,0.3
8,Isaiah Hartenstein,26,7,134,14,23,0,0,11,16,19,28,47,16,6,2,7,11,39,0.609,,0.688,19.1,5.6,6.7,2.3,0.9,0.3
9,Isaiah Joe,25,5,41,8,13,5,9,3,3,0,3,3,1,1,0,2,5,24,0.615,0.556,1,8.2,4.8,0.6,0.2,0.2,0
10,Jaylin Williams,22,3,15,3,4,3,4,1,2,0,6,6,1,1,0,1,2,10,0.75,0.75,0.5,5,3.3,2,0.3,0.3,0
11,Kenrich Williams,30,7,55,3,10,1,6,0,2,5,7,12,4,0,1,2,0,7,0.3,0.167,0,7.9,1,1.7,0.6,0,0.1
12,Dillon Jones,23,3,10,2,2,0,0,0,0,1,1,2,1,0,0,1,2,4,1,,,3.3,1.3,0.7,0.3,0,0
13,Ajay Mitchell,22,4,19,1,7,0,2,2,2,3,2,5,5,0,0,3,0,4,0.143,0,1,4.8,1,1.3,1.3,0,0
14,Ousmane Dieng,21,3,6,1,3,1,2,0,0,0,0,0,0,0,1,0,0,3,0.333,0.5,,2,1,0,0,0,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,,,,,,,,,,
1,Shai Gilgeous-Alexander,26,7,7,267,0.561,0.468,0.9,13.2,6.9,27.3,2.4,4,11.3,34.2,114,108,21.8,,,,,,,,,,
